no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
3,0,26,167,52,0,1.7,0,1,-0.5,1,2,202,4,summer,2019/7/23,11:31:00,23.7,56.01
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,15:30:00,24.3,57.11
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,15:00:00,24.5,56.34
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,14:30:00,25.4,61.61
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,202,4,summer,2019/7/23,12:01:00,23.6,55.95
3,0,26,167,52,0,1.7,0,1,-0.5,2,3,202,4,summer,2019/7/23,9:30:00,24.6,57.96
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,202,4,summer,2019/7/23,11:01:00,23.9,57
3,0,26,167,52,0,1.7,0,1,-0.5,1,3,202,4,summer,2019/7/23,10:31:00,24,57.15
3,0,26,167,52,0,1.7,0,1,-0.5,2,3,202,4,summer,2019/7/23,10:00:00,24.2,56.91
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,9:00:00,25.3,61.77
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,16:31:00,24,57.57
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,16:01:00,24,57.33
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,14:29:00,23.1,57.49
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,17:02:00,24,57.63
3,0,26,167,52,0,1.7,0,1,0,1,2,202,4,summer,2019/7/23,17:32:00,23.9,58.27
3,0,26,167,52,0,1.7,0,1,-0.5,2,3,224,3,summer,2019/7/24,8:58:00,24.4,54.35
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,9:29:00,24.4,58.15
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,9:59:00,24.8,56.3
3,0,26,167,52,0,1.7,0,1,0,1,2,224,3,summer,2019/7/24,10:29:00,24.9,55.21
