no,gender,age,height,weight,ta,hr,season,thermal sensation,bmi,griffith
5,1,24,180,62,23.3,56,0,0.7,19.14,1.05
5,1,24,180,62,23.5,55,0,0.4,19.14,1.05
5,1,24,180,62,26.5,53,0,0,19.14,1.05
5,1,24,180,62,25.5,63,0,2,19.14,1.05
5,1,24,180,62,27,55,0,0.1,19.14,1.05
5,1,24,180,62,27.1,55,0,0.2,19.14,1.05
5,1,24,180,62,26.6,56,0,0.6,19.14,1.05
5,1,24,180,62,23.7,49,0,-0.2,19.14,1.05
5,1,24,180,62,24.3,53,0,0.6,19.14,1.05
5,1,24,180,62,24.6,49,0,0.3,19.14,1.05
5,1,24,180,62,24.7,53,0,-0.2,19.14,1.05
5,1,24,180,62,25.2,64,0,0.1,19.14,1.05
5,1,24,180,62,27,59,0,1.1,19.14,1.05
5,1,24,180,62,25.3,55,0,-0.3,19.14,1.05
5,1,24,180,62,28,52,0,0.3,19.14,1.05
5,1,24,180,62,24.9,49,0,0.1,19.14,1.05
5,1,24,180,62,24.4,55,0,-0.3,19.14,1.05
5,1,24,180,62,26.2,54,0,0,19.14,1.05
5,1,24,180,62,27.3,58,0,0.1,19.14,1.05
